Reason,Description,Department_Owner,Touches_Invoice,Auto_Reject_Eligible,Cadence_Days,Has_Timeout,Bill_Processor_Action,Department_Action,Supplier_Action_Required,Possible_Outcomes,Success_Outcome,Failure_Outcome,Day_0_Comms,Day_3_Comms,Day_7_Comms,Day_10_Comms,Requires_Revalidation,Revalidation_Checks,Can_Coexist_With,Key_Principles,Examples,Notes,Comments,Requires_Resolution_Outreach
Insufficient balance,"The client does not have a sufficient balance in the specified funding stream or unspent funds to accommodate the expenditure.",Care,FALSE,FALSE,10,TRUE,Place invoice on hold,"Review budget allocation and spend; communicate with client; assess funding availability; request voluntary contribution if needed","Budget updated, Voluntary contribution made, Package review initiated",Funding confirmed or VC added,Budget updated,Rejected after Day 10,"Client: Email noting bill cannot be paid due to insufficient balance. Request VC or CP contact within 48 hours.","Client: Reminder for VC or CP contact.","Client: Reminder, noting if not received in 48 hrs bill will be rejected and supplier notified.","Client: Bill rejected. Supplier: Bill rejected.",TRUE,funding_balance,"Service type not in budget","Client given at least 7 days to respond; reject after Day 10; actions documented","Client has $100 remaining but invoice is $500; package funds depleted","Day 8: 48-hour extension granted before rejection - contextual hold",Updated Detail from SAH source with funding stream reference,TRUE
Service type not in budget,"The service type is not contained in the client's budget.",Care,FALSE,FALSE,10,TRUE,Place invoice on hold,"Confirm service intent; obtain client approval","Budget updated, Client elects private payment",Budget updated,Budget updated,Rejected after Day 10,"Client: Notified service not included in approved budget; confirmation required.","Client: Reminder to confirm service intent. Coordinator: Notified. Supplier: Update sent.","Client: Final notice to confirm budget update or private payment.","Client: Invoice rejected due to no response.",TRUE,funding_balance,"Insufficient balance","Client given at least 7 days to respond; reject after Day 10; actions documented","Cleaning service invoiced but only personal care in approved budget","Day 8: 48-hour extension to update care plan - contextual hold",No change,TRUE
Coordinator approval required,"Record flagged for exception - coordinator approval required",Care,FALSE,FALSE,10,TRUE,Place invoice on hold,"Liaise with coordinator; obtain approval decision",,"Approval granted, Invoice rejected",Approval granted,Rejected after Day 10,"Coordinator: Notified approval required for invoice to proceed. Client: Notified invoice on hold.","Coordinator: Reminder approval still required. Client: Notified invoice remains on hold.","Coordinator: Final reminder; advised invoice may be rejected.","Coordinator: Invoice rejected due to no response.",FALSE,N/A,"Client approval required","Coordinator contacted first; reject after Day 10 unresolved; actions documented","High-value purchase requiring coordinator sign-off; exception to standard budget","Day 8: Client given 48 hours to approve directly - contextual hold",No change,TRUE
Client approval required,"Record flagged for exception - client approval required",Care,FALSE,FALSE,10,TRUE,"N/A (auto-flagged)","Review exception; contact client; record response","Client approval confirmed, Approval not provided",Approval confirmed,Approval confirmed,Rejected after Day 10,"Client: Approval request sent. Supplier: Invoice placed on hold pending client approval.","Client: Reminder approval required. Supplier: Update invoice remains on hold.","Client: Follow-up advising bill will be rejected if approval not received.","Client: Bill rejected notification. Supplier: Bill rejected notification.",FALSE,N/A,"Coordinator approval required","Client approval mandatory where flagged; payment cannot proceed without explicit approval; decisions documented","Service outside normal care plan; one-off purchase requiring explicit consent","Contextual hold - awaiting client decision",No change,TRUE
Unplanned services reached maximum cap,"When we receive a bill for a service not included in the budget, we process it as unplanned services UP TO $1,000. When invoice and line items total ≥$1,000, bill is placed on hold.",Care,FALSE,FALSE,10,TRUE,"N/A (auto-flagged)","Review spend against cap; discuss with client; update budget if approved",,Invoice rejected,Budget updated,Invoice rejected,"Client: Contacted to confirm whether service should be added to budget. Supplier: Invoice on hold pending client response.","Client: Advised bill will be rejected if budget update not confirmed.","","",TRUE,funding_balance,"Service type not in budget","Spending must not exceed approved caps; budget updates required for continuation","Ad-hoc services exceeded allocated cap amount","Contextual hold - requires budget review",Updated Detail from SAH source with $1000 threshold explanation,TRUE
Unverified funding stream,"The service or support invoiced needs funding through a stream that's not available (verified by Services Australia). Common Scenarios: ATHM item with no verified unspent HCP funds; No Commonwealth unspent funds available; No AT/HM funding streams; Bill received before ACER lodged.",Care,FALSE,FALSE,10,TRUE,"N/A (auto-flagged)","Identify unverified funding; review eligibility; confirm source; Check care plan stage in CRM is 'care plan sent'; Check ACER has been lodged",,Invoice rejected,Funding verified,Invoice rejected,"Client: Contacted to confirm funding stream or budget update. Supplier: Invoice on hold pending funding verification.","Client: Advised bill will be rejected if funding not verified.","","",FALSE,N/A,All,"Funding streams must be verified before payment","New funding source not yet validated in system","Contextual hold - administrative verification needed",Updated Detail and Department_Action from SAH source with common scenarios and CRM checks,TRUE
Unapproved services,"The bill lists a service the client is not approved to receive. Client Approval Levels: Grandfathered clients have full approval from SAH services list; Hybrid (transitional) have full approval from SAH services list; New SAH clients may be approved for limited services.",Care,FALSE,FALSE,10,TRUE,"N/A (auto-flagged)","Review against care plan; confirm whether service can be approved; If client needs the service: request review in MAC",,Invoice rejected,Service approved,Invoice rejected,"Client: Contacted to confirm whether service should be approved/added to plan. Supplier: Invoice on hold pending client response.","Client: Advised bill will be rejected if service not approved.","","",FALSE,N/A,"Service type not in budget","Only approved services may be funded","Service not listed in NOD; service outside care plan scope","Contextual hold - requires care plan update",Updated Detail and Department_Action from SAH source with client approval level explanations,TRUE
ATHM,"Invoice relates to Assistive Technology and Home Modifications. What IS ATHM: Falls and personal alarms (prescribed items); Clinical prescription and support service type; Assistive technology items; Home modifications. What is NOT ATHM: Continence aids; Oxygen; Catheter equipment; Wound care (these are nursing care consumables funded through ongoing quarterly funding).",Care,FALSE,FALSE,NULL,FALSE,"Remove from automated flow","Manage assessment and approval manually in line with ATHM requirements; Check if ATHM or Home Care Account funding is available; Verify funding position: check AT-HM approval status and ATHM date of purchase; If AT/HM funding is approved, check entry has been recorded in PRODA",N/A,Manual processing,Manual processing,N/A,"No further Action as awaiting funds to be available","","","",FALSE,N/A,All,"ATHM items are not processed via standard billing automation","Home modifications; assistive technology purchases","Special workflow - not standard bill processing",Updated Detail and Department_Action from SAH source with ATHM definitions,FALSE
Exceeds budgeted rate,"The invoice exceeds budgeted hourly rate",Care,TRUE,FALSE,10,TRUE,"N/A (auto-flagged)","Review rate; discuss with client; update budget if approved; Calculate variance between budgeted and invoiced rate; Options: Update budget / One-off unplanned / VC / Reject",,Invoice rejected,Rate approved,Invoice rejected,"Client: Contacted to confirm whether rate increase should be approved. Supplier: Invoice on hold pending client response.","Client: Advised bill will be rejected if rate not approved.","","",TRUE,funding_balance,"Supplier price increase","Rates must align with approved budget","Budgeted rate $40/hr but invoiced $45/hr","Contextual hold - requires budget/rate approval",Updated Department_Action from SAH source with specific options,TRUE
Exceeds budgeted quantity,"The invoice exceeds budgeted quantity",Care,TRUE,FALSE,10,TRUE,"N/A (auto-flagged)","Review quantity; discuss with client; update budget if approved; If transitioned, update budget. If new and service is in Notice of Decision (NOD), update budget.",,Invoice rejected,Quantity approved,Invoice rejected,"Client: Contacted to confirm whether additional quantity should be approved. Supplier: Invoice on hold pending client response.","Client: Advised bill will be rejected if quantity not approved.","","",TRUE,funding_balance,All,"Quantities must align with approved plan","Approved 10 hours but invoiced 15 hours","Contextual hold - requires quantity approval",Updated Department_Action from SAH source with transitional handling,TRUE
Commencement date,"The service date is before the client's commencement date with Trilogy Care",Care,TRUE,TRUE,0,TRUE,"Review service date; confirm with client","Determine eligibility; Check commencement date; Is the item an essential service; Update ACER if possible (new packages only); Refer to previous provider (transfers only)","Check with supplier that service date is correct","Service confirmed and progressed, Invoice rejected",Service confirmed,Rejected immediately,"Client: Email informing the bill cannot be paid due to service occurring prior to commencement. Query Voluntary Contribution or rejection preference. Supplier: Email to advise on hold pending client contact.","Client: Reminder email. Supplier: Email to advise on hold pending client contact.","Client: Reminder email. Supplier: Email to advise on hold pending client contact.","Client: Bill rejected. Supplier: Bill rejected.",TRUE,funding_period,"Termination date","Services must fall within valid commencement period","Service provided before client's program start date","Immediate rejection - cannot pay for pre-commencement services",Updated Department_Action from SAH source with essential service and ACER checks,TRUE
Termination date,"The service date is after the client's exit date with Trilogy Care",Care,TRUE,TRUE,0,TRUE,"Review service date; confirm with client","Determine eligibility; Check termination date; Check that the exit date is correct; Refer to new provider (transfers only); Refer to client (left program only)","Check with supplier that service date is correct","Service confirmed and progressed, Invoice rejected",Service confirmed,Rejected immediately,"Client: Email informing that bill cannot be paid due to service occurring after termination date. If transferred, ask to submit to new provider. If terminated, ask to arrange direct payment. Supplier: Advise service past active date with TC.","NA","NA","Client: Bill rejected. Supplier: Bill rejected.",TRUE,funding_period,"Commencement date","Services must fall within approved care period","Service provided after client exited program","Immediate rejection - cannot pay for post-termination services",Updated Department_Action from SAH source with transfer handling,TRUE
Missing client bank details,"The client record in MYOB does not contain verified bank details.",Accounts,FALSE,FALSE,10,TRUE,"Identify missing/invalid details; attempt to obtain",N/A,"N/A (client action)","Bank details obtained and payment proceeds, Bill rejected",Bank details obtained,Bill rejected,"Client: Contacted to request missing or corrected bank details. Call advise bills status and requirement to provide bank details. Email to callback sent if contact is unsuccessful.","Client: Reminder email","Client: Follow-up Call. Email to callback sent if contact is unsuccessful.","Client: Notified bill rejected due to missing bank details.",FALSE,N/A,All,"Valid bank details required before payment","Client bank account not on file; invalid BSB","Contextual hold - awaiting client information",Updated Detail and Day_0_Comms from SAH source,TRUE
Missing supplier bank details,"The supplier record in MYOB does not contain verified bank details.",Accounts,FALSE,FALSE,10,TRUE,"Identify missing/invalid details; attempt to obtain",N/A,"Provide valid bank details","Bank details obtained and payment proceeds, Bill rejected",Bank details obtained,Bill rejected,"Supplier: Contacted to request missing or corrected bank details.","","","Supplier: Notified bill rejected due to missing bank details.",FALSE,N/A,All,"Valid supplier bank details required before payment","Supplier bank account not on file; invalid account number","Contextual hold - awaiting supplier information",No change,FALSE
No proof of payment,"A reimbursement request has been submitted without proof of payment (e.g. bank confirmation, receipt, zero balance statement)",Accounts,TRUE,FALSE,10,TRUE,"Identify missing proof; request from client",N/A,"Provide proof of payment","Proof obtained and reimbursement proceeds, Bill rejected",Proof obtained,Bill rejected,"Client: Contacted to request proof of payment.","","","Client: Notified bill rejected due to missing proof of payment.",FALSE,N/A,"No source invoice","Proof of payment required for reimbursement","Client claiming reimbursement without receipt","Applies to reimbursement claims only",Updated Detail from source with examples,TRUE
No source invoice,"A reimbursement request has been submitted without the original supplier invoice.",Accounts,TRUE,FALSE,10,TRUE,"Identify missing invoice; request from client",N/A,"Provide original supplier invoice","Invoice obtained and reimbursement proceeds, Bill rejected",Invoice obtained,Bill rejected,"Client: Contacted to request original supplier invoice.","","","Client: Notified bill rejected due to missing supplier invoice.",FALSE,N/A,"No proof of payment","Original supplier invoice mandatory for reimbursement","Client claiming reimbursement without original invoice","Applies to reimbursement claims only",No change,TRUE
Finance QA failure,"Bill failed the final Finance QA review",Accounts,TRUE,FALSE,0,TRUE,"Identify QA failure; document issue",N/A,N/A,"QA issue resolved and bill proceeds, Bill rejected",QA resolved,Bill rejected,"","","","Client: Notified bill rejected following QA review.",FALSE,N/A,All,"Bills must pass Finance QA before payment","Data integrity issue detected; compliance check failed in final review","Immediate rejection after QA review",No change,FALSE
Other,"Does not fit into any of the above. This will be reviewed monthly to identify any other recurring reasons that may need to be created.",Accounts,FALSE,FALSE,10,TRUE,"Review issue; determine resolution path",N/A,"Provide clarification as requested","Issue resolved and bill proceeds, Bill rejected",Issue resolved,Bill rejected,"Supplier: Contacted regarding issue requiring clarification.","Supplier: Follow-up reminder sent if clarification not received.","","Supplier: Notified bill rejected.",FALSE,N/A,All,"All bills must meet minimum processing requirements","Edge case not covered by standard reasons","Catch-all for undefined issues",Updated Detail from SAH source,FALSE
Client is Not Active,"The client doesn't have a MYOB Record / Stage is on Client Onboarding",Accounts,FALSE,FALSE,10,TRUE,"Place invoice on hold pending client activation","Verify client status in MYOB; Check onboarding stage; Escalate to onboarding team if required",N/A,"Client activated and invoice proceeds, Bill rejected",Client activated,Bill rejected,"Client: Contacted regarding onboarding status. Invoice on hold pending client activation.","Client: Reminder regarding onboarding completion.","Client: Final notice regarding onboarding.","Client: Notified bill rejected due to client not active.",FALSE,N/A,All,"Client must be active in MYOB before payment can proceed","Client in onboarding stage; No MYOB record exists","Contextual hold - awaiting client activation",NEW - Added from Proposed Addl On Hold Reason source,TRUE
Budget Not Active,"Budget is In Draft",Care,FALSE,FALSE,10,TRUE,"Place invoice on hold pending budget activation","Verify budget status; Move budget from Draft to Active if appropriate; Liaise with Care Partner to finalise budget",N/A,"Budget activated and invoice proceeds, Bill rejected",Budget activated,Bill rejected,"Client: Contacted regarding budget status. Invoice on hold pending budget activation.","Client: Reminder regarding budget finalisation.","Client: Final notice regarding budget.","Client: Notified bill rejected due to budget not active.",FALSE,N/A,All,"Budget must be active before payment can proceed","Budget still in draft stage; Budget not yet approved","Contextual hold - awaiting budget activation",NEW - Added from Proposed Addl On Hold Reason source,FALSE
